,n_nodes,n_edges,edge_node_ratio,bi_ratio,w_b_edges,w_edges,d_b_edges,d_edges,w_bi_ratio,d_bi_ratio
100,435,55715,128.08045977011494,0.441784079691286,24127,54444,487,1271,0.44315259716405847,0.3831628638867034
101,437,58673,134.26315789473685,0.4407137865798579,25305,57265,553,1408,0.4418929538112285,0.3927556818181818
102,435,55801,128.27816091954023,0.42963387752907656,23435,54605,539,1196,0.4291731526416995,0.4506688963210702
103,434,47730,109.97695852534562,0.4190655772051121,19583,46656,419,1074,0.4197316529492455,0.39013035381750466
104,433,36671,84.6905311778291,0.4094788797687546,14630,35500,386,1171,0.412112676056338,0.3296327924850555
105,437,43935,100.53775743707094,0.4242631159667691,18059,42724,581,1211,0.4226898230502762,0.4797687861271676
106,430,49538,115.2046511627907,0.43683636804069603,21077,48368,563,1170,0.4357633145881575,0.4811965811965812
107,436,47700,109.40366972477064,0.4280503144654088,19813,46526,605,1174,0.42584791299488456,0.5153321976149915
108,432,48427,112.09953703703704,0.4308546885002168,20223,46995,642,1432,0.430322374720715,0.4483240223463687
109,402,44910,111.71641791044776,0.43740814963259855,19002,43708,642,1202,0.43474878740733963,0.5341098169717138
110,373,40559,108.7372654155496,0.44295963904435515,17599,39675,367,884,0.4435790800252048,0.415158371040724
111,328,30196,92.0609756097561,0.44118426281626705,12926,29295,396,901,0.4412357057518348,0.43951165371809103
112,291,20970,72.0618556701031,0.4430138292799237,9055,20348,235,622,0.4450068802830745,0.3778135048231511
113,249,15687,63.0,0.4680946006247211,7049,15064,294,623,0.4679368029739777,0.47191011235955055
114,227,13464,59.31277533039648,0.45714497920380276,5893,12880,262,584,0.4575310559006211,0.4486301369863014
93,435,25828,59.37471264367816,0.42539104847452375,10288,24205,699,1623,0.4250361495558769,0.43068391866913125
94,435,28634,65.82528735632184,0.40947824264859956,10913,26668,812,1966,0.4092170391480426,0.41302136317395727
95,434,32840,75.66820276497695,0.41985383678440924,13011,30936,777,1904,0.420577967416602,0.40808823529411764
96,433,39349,90.87528868360278,0.4282955094157412,16326,38061,527,1288,0.4289430125325136,0.4091614906832298
97,437,45324,103.7162471395881,0.44570205630571,19753,44224,448,1100,0.44665792329956583,0.4072727272727273
98,433,52017,120.13163972286374,0.4295903262394986,21840,50853,506,1164,0.42947318742257096,0.43470790378006874
99,432,55545,128.57638888888889,0.4387613646592853,23846,54324,525,1221,0.43895883955526105,0.42997542997543
